日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2017-07-10,,,,,,,133.86,134.15,134.78,133.86,-0.31,
2017-07-11,,,,,,,133.99,133.92,134.41,133.92,0.13,
2017-07-12,,,,,,,135.03,133.97,135.03,133.97,1.04,
2017-07-13,,,,,,,135.55,134.98,135.99,134.98,0.52,
2017-07-14,,,,,,,136.64,135.59,136.64,135.59,1.09,
2017-07-17,,,,,,,136.9,136.67,137.48,136.67,0.26,
2017-07-18,,,,,,,137.99,136.96,137.99,136.96,1.09,
2017-07-19,,,,,,,137.89,137.95,138.58,137.73,-0.1,
2017-07-20,,,,,,,138.16,137.89,138.7,137.89,0.27,
2017-07-21,,,,,,,138.61,138.15,138.89,138.14,0.45,
2017-07-24,,,,,,,138.55,138.59,138.84,138.34,-0.06,
2017-07-25,,,,,,,139.23,138.57,139.24,138.56,0.68,
2017-07-26,,,,,,,139.95,139.13,140.7,139.13,0.72,
2017-07-27,,,,,,,140.23,139.83,140.51,139.83,0.28,
2017-07-28,,,,,,,138.9,140.14,140.8,138.9,-1.33,
2017-07-31,,,,,,,139.17,138.92,139.42,138.78,0.27,
2017-08-01,,,,,,,139.29,139.18,139.59,139.18,0.12,
2017-08-02,,,,,,,139.71,139.37,140.02,139.37,0.42,
2017-08-03,,,,,,,139.36,139.67,139.92,139.24,-0.35,
2017-08-04,,,,,,,139.46,139.4,140.05,139.32,0.1,
2017-08-07,,,,,,,140.54,139.56,140.69,139.56,1.08,
2017-08-08,,,,,,,139.76,140.66,141.24,139.6,-0.78,
2017-08-09,,,,,,,137.73,139.74,139.74,137.67,-2.03,
2017-08-10,,,,,,,134.72,137.66,137.97,134.54,-3.01,
2017-08-11,,,,,,,134.68,134.44,134.94,133.61,-0.04,
2017-08-14,,,,,,,131.3,134.7,135.36,131.3,-3.38,
2017-08-15,,,,,,,133.07,131.53,133.64,131.53,1.77,
2017-08-16,,,,,,,133.78,133.05,134.15,132.83,0.71,
2017-08-17,,,,,,,135.47,133.94,135.47,133.94,1.69,
2017-08-18,,,,,,,135.34,135.29,135.34,134.16,-0.13,
2017-08-21,,,,,,,135.96,135.34,136.04,135.34,0.62,
2017-08-22,,,,,,,136.44,136.05,137.04,136.05,0.48,
2017-08-23,,,,,,,136.79,136.57,137.61,136.57,0.35,
2017-08-24,,,,,,,137.63,136.78,137.83,136.78,0.84,
2017-08-25,,,,,,,138.15,137.63,138.23,137.63,0.52,
2017-08-28,,,,,,,138.61,138.07,138.95,138.07,0.46,
2017-08-29,,,,,,,138.5,138.62,138.9,138.04,-0.11,
