日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2024-11-11,,,,,,,265.55,266.55,267.32,264.85,-0.98,
2024-11-12,,,,,,,260.46,265.16,265.16,260.29,-5.09,
2024-11-13,,,,,,,260.03,260.39,261.53,260.03,-0.43,
2024-11-14,,,,,,,256.17,260.3,260.67,256.17,-3.86,
2024-11-15,,,,,,,256.45,256.37,258.73,256.19,0.28,
2024-11-18,,,,,,,251.78,256.37,256.37,251.78,-4.67,
2024-11-19,,,,,,,256.29,252.02,256.45,252.02,4.51,
2024-11-20,,,,,,,255.82,256.58,257.77,255.38,-0.47,
2024-11-21,,,,,,,257.95,255.83,258.49,255.75,2.13,
2024-11-22,,,,,,,259.58,258.32,260.44,258.32,1.63,
2024-11-25,,,,,,,261.8,260.03,262.48,260.03,2.22,
2024-11-26,,,,,,,259.72,261.63,261.63,259.72,-2.08,
2024-11-27,,,,,,,255.4,259.98,260.83,255.4,-4.32,
2024-11-28,,,,,,,252.82,255.44,255.87,250.46,-2.58,
2024-11-29,,,,,,,256.72,252.57,256.95,251.31,3.9,
2024-12-02,,,,,,,257.84,256.87,258.84,256.87,1.12,
2024-12-03,,,,,,,259.11,258.3,260.3,258.3,1.27,
2024-12-04,,,,,,,262.6,259.13,262.62,259.13,3.49,
2024-12-05,,,,,,,263.39,262.77,264.25,262.77,0.79,
2024-12-06,,,,,,,261.52,263.36,263.74,261.02,-1.87,
2024-12-09,,,,,,,260.47,261.44,262.28,259.85,-1.05,
2024-12-10,,,,,,,258.21,260.51,261.66,258.17,-2.26,
2024-12-11,,,,,,,257.78,257.9,259.33,257.53,-0.43,
2024-12-12,,,,,,,257.38,258.21,260.24,257.38,-0.4,
2024-12-13,,,,,,,255.29,257.35,257.83,254.79,-2.09,
2024-12-16,,,,,,,250.1,255.54,256.45,250.1,-5.19,
2024-12-17,,,,,,,253.83,250.3,254.16,250.3,3.73,
2024-12-18,,,,,,,255.12,253.83,255.12,252.75,1.29,
2024-12-19,,,,,,,254.73,254.45,254.73,251.74,-0.39,
2024-12-20,,,,,,,252.39,254.79,256.55,252.39,-2.34,
2024-12-23,,,,,,,254.18,252.86,255.49,252.86,1.79,
2024-12-24,,,,,,,255.3,254.45,257.45,254.45,1.12,
2024-12-25,,,,,,,256.41,255.5,257.15,255.5,1.11,
2024-12-26,,,,,,,257.18,256.58,258.12,256.58,0.77,
2024-12-27,,,,,,,256.1,257.31,257.69,256.1,-1.08,
2024-12-30,,,,,,,254.32,256.14,256.63,254.32,-1.78,
2024-12-31,,,,,,,255.84,254.3,255.84,252.95,1.52,
2025-01-02,,,,,,,252.69,255.78,256.17,252.58,-3.15,
2025-01-03,,,,,,,252.35,252.9,254.61,252.32,-0.34,
2025-01-06,,,,,,,255.31,252.78,255.42,252.78,2.96,
2025-01-07,,,,,,,256.88,255.65,257.83,255.65,1.57,
2025-01-08,,,,,,,256.08,256.65,257.31,255.43,-0.8,
2025-01-09,,,,,,,250.81,256.14,256.26,250.81,-5.27,
2025-01-10,,,,,,,250.14,250.98,252.32,249.76,-0.67,
2025-01-13,,,,,,,242.35,250.02,250.02,241.9,-7.79,
2025-01-14,,,,,,,245.5,242.55,245.5,242.55,3.15,
2025-01-15,,,,,,,244.74,245.59,247.27,244.54,-0.76,
2025-01-16,,,,,,,249.57,245.74,249.73,245.74,4.83,
2025-01-17,,,,,,,248.05,249.89,250.61,247.76,-1.52,
2025-01-20,,,,,,,251.55,248.04,251.55,248.04,3.5,
2025-01-21,,,,,,,251.04,251.57,252.31,251.04,-0.51,
2025-01-22,,,,,,,252.95,251.35,253.01,251.17,1.91,
2025-02-03,,,,,,,246.17,251.31,251.31,244.41,-6.78,
2025-02-04,,,,,,,246.04,246.38,247.68,244.83,-0.13,
2025-02-05,,,,,,,250.25,246.34,250.25,246.34,4.21,
2025-02-06,,,,,,,252.48,250.62,252.72,250.62,2.23,
2025-02-07,,,,,,,255.54,252.57,255.63,252.57,3.06,
2025-02-10,,,,,,,253.57,255.39,255.39,253.12,-1.97,
2025-02-11,,,,,,,254.01,253.92,255.56,253.92,0.44,
2025-02-12,,,,,,,253.12,254.29,255.99,253.06,-0.89,
2025-02-13,,,,,,,255.08,253.29,255.47,253.29,1.96,
2025-02-14,,,,,,,254.81,255.32,256.44,254.77,-0.27,
2025-02-17,,,,,,,257.63,255.05,257.73,255.05,2.82,
2025-02-18,,,,,,,260.75,257.81,260.75,257.81,3.12,
2025-02-19,,,,,,,261.66,260.67,262.99,260.67,0.91,
2025-02-20,,,,,,,261.64,261.8,263.21,261.35,-0.02,
2025-02-21,,,,,,,263.43,261.61,263.43,261.61,1.79,
2025-02-24,,,,,,,264.03,263.19,264.03,261.83,0.6,
2025-02-25,,,,,,,262.51,263.82,263.82,261.56,-1.52,
2025-02-26,,,,,,,262.22,262.52,263.28,261.6,-0.29,
2025-02-27,,,,,,,259.92,262.5,264.29,259.86,-2.3,
2025-03-03,,,,,,,256.01,259.37,259.37,255.89,-3.91,
2025-03-04,,,,,,,256.89,255.34,257.29,251.12,0.88,
2025-03-05,,,,,,,259.99,257.1,260.42,257.1,3.1,
2025-03-06,,,,,,,260.31,260.17,262.2,260.17,0.32,
2025-03-07,,,,,,,257.23,260.1,260.19,257.06,-3.08,
2025-03-10,,,,,,,255.29,257.39,258.37,255.29,-1.94,
2025-03-11,,,,,,,251.52,254.04,254.04,246.99,-3.77,
2025-03-12,,,,,,,252.11,251.82,254.43,251.72,0.59,
2025-03-13,,,,,,,249.3,252.6,255.04,249.3,-2.81,
2025-03-14,,,,,,,249.96,249.42,250.35,247.75,0.66,
2025-03-17,,,,,,,250.78,250.48,252.59,250.48,0.82,
2025-03-18,,,,,,,253.3,251.14,253.49,251.14,2.52,
2025-03-19,,,,,,,250.62,253.35,253.69,250.6,-2.68,
2025-03-20,,,,,,,254.45,251.01,254.58,251.01,3.83,
2025-03-21,,,,,,,253.89,254.56,255.05,253.5,-0.56,
2025-03-24,,,,,,,251.22,254.2,255.74,251.22,-2.67,
2025-03-25,,,,,,,251.54,251.86,254.28,251.12,0.32,
2025-03-26,,,,,,,252.11,251.67,252.87,251.41,0.57,
2025-03-27,,,,,,,248.71,251.54,251.54,248.52,-3.4,
2025-03-28,,,,,,,242.96,248.54,248.54,241.74,-5.75,
2025-03-31,,,,,,,230.4,241.44,241.44,230.4,-12.56,
2025-04-01,,,,,,,235.78,230.8,236.17,230.8,5.38,
2025-04-02,,,,,,,237.38,235.86,237.6,234.96,1.6,
2025-04-07,,,,,,,214.38,232.45,232.45,214.18,-23.0,
2025-04-08,,,,,,,200.03,211.01,211.01,197.7,-14.35,
2025-04-09,,,,,,,185.14,198.27,198.27,183.97,-14.89,
2025-04-10,,,,,,,202.06,188.34,202.31,188.34,16.92,
2025-04-11,,,,,,,204.94,200.39,204.94,193.45,2.88,
2025-04-14,,,,,,,208.61,205.9,213.37,205.9,3.67,
2025-04-15,,,,,,,216.48,209.06,216.63,209.06,7.87,
2025-04-16,,,,,,,212.87,216.3,216.84,212.87,-3.61,
2025-04-17,,,,,,,212.08,212.53,213.25,209.68,-0.79,
2025-04-18,,,,,,,212.13,212.19,213.33,211.68,0.05,
2025-04-21,,,,,,,206.22,212.13,212.21,206.22,-5.91,
2025-04-22,,,,,,,203.68,205.81,207.7,203.68,-2.54,
2025-04-23,,,,,,,211.5,204.67,211.93,204.67,7.82,
2025-04-24,,,,,,,212.75,211.74,213.66,211.74,1.25,
2025-04-25,,,,,,,216.92,213.58,217.99,213.58,4.17,
2025-04-28,,,,,,,219.41,217.18,219.48,217.18,2.49,
2025-04-29,,,,,,,222.51,219.54,222.51,219.45,3.1,
2025-04-30,,,,,,,219.98,222.59,223.62,219.98,-2.53,
2025-05-02,,,,,,,223.89,220.58,224.08,220.58,3.91,
2025-05-05,,,,,,,219.39,224.07,225.4,216.25,-4.5,
2025-05-06,,,,,,,221.42,219.25,221.81,218.74,2.03,
2025-05-07,,,,,,,219.55,221.63,222.34,219.55,-1.87,
2025-05-08,,,,,,,222.69,219.82,223.03,219.82,3.14,
2025-05-09,,,,,,,223.55,222.93,224.04,221.59,0.86,
2025-05-12,,,,,,,226.06,223.89,226.59,223.89,2.51,
2025-05-13,,,,,,,228.18,226.85,230.78,226.85,2.12,
2025-05-14,,,,,,,231.47,228.59,231.56,228.59,3.29,
2025-05-15,,,,,,,230.13,231.51,232.09,230.13,-1.34,
2025-05-16,,,,,,,230.92,230.19,231.66,230.19,0.79,
2025-05-19,,,,,,,227.08,231.01,231.01,227.08,-3.84,
2025-05-20,,,,,,,227.74,227.44,229.89,227.44,0.66,
2025-05-21,,,,,,,230.26,227.89,230.26,227.89,2.52,
2025-05-22,,,,,,,228.98,230.09,230.09,227.59,-1.28,
2025-05-23,,,,,,,228.79,229.19,230.65,228.58,-0.19,
2025-05-26,,,,,,,227.67,228.88,229.24,227.67,-1.12,
2025-05-27,,,,,,,226.26,227.82,229.1,226.1,-1.41,
2025-05-28,,,,,,,225.84,226.76,229.07,225.19,-0.42,
2025-05-29,,,,,,,227.27,226.2,227.89,226.2,1.43,
2025-06-02,,,,,,,222.04,226.93,226.93,221.29,-5.23,
2025-06-03,,,,,,,222.5,222.37,223.97,222.36,0.46,
2025-06-04,,,,,,,226.24,222.94,226.24,222.94,3.74,
2025-06-05,,,,,,,227.23,226.29,228.51,226.29,0.99,
2025-06-06,,,,,,,227.31,227.14,227.51,226.47,0.08,
2025-06-09,,,,,,,227.9,227.5,228.49,226.61,0.59,
2025-06-10,,,,,,,230.82,227.96,230.82,227.96,2.92,
2025-06-11,,,,,,,234.01,230.99,234.08,230.99,3.19,
2025-06-12,,,,,,,234.77,234.02,235.52,234.02,0.76,
2025-06-13,,,,,,,231.18,234.48,234.48,231.18,-3.59,
2025-06-16,,,,,,,231.2,230.95,231.32,229.96,0.02,
2025-06-17,,,,,,,231.15,231.22,233.53,231.09,-0.05,
2025-06-18,,,,,,,231.79,231.19,232.65,231.19,0.64,
2025-06-19,,,,,,,228.56,231.74,231.99,228.56,-3.23,
2025-06-20,,,,,,,226.55,228.63,229.38,225.11,-2.01,
2025-06-23,,,,,,,226.34,226.1,226.34,222.48,-0.21,
2025-06-24,,,,,,,231.31,226.62,231.31,226.62,4.97,
2025-06-25,,,,,,,233.17,231.67,233.64,231.67,1.86,
2025-06-26,,,,,,,233.22,233.33,234.86,233.18,0.05,
2025-06-27,,,,,,,233.63,233.27,234.42,233.11,0.41,
2025-06-30,,,,,,,231.35,233.68,234.43,231.35,-2.28,
2025-07-01,,,,,,,232.21,231.4,233.89,231.4,0.86,
2025-07-02,,,,,,,232.92,232.0,233.48,231.83,0.71,
2025-07-03,,,,,,,234.6,233.13,235.31,233.13,1.68,
2025-07-04,,,,,,,231.61,234.36,235.36,231.57,-2.99,
2025-07-07,,,,,,,228.94,231.48,231.95,228.8,-2.67,
2025-07-08,,,,,,,228.22,228.68,228.68,226.44,-0.72,
2025-07-09,,,,,,,230.79,228.1,230.89,227.66,2.57,
2025-07-10,,,,,,,231.02,230.73,232.23,230.73,0.23,
2025-07-11,,,,,,,232.49,231.03,232.92,231.03,1.47,
2025-07-14,,,,,,,230.59,232.36,232.62,230.58,-1.9,
2025-07-15,,,,,,,232.32,230.51,232.44,230.51,1.73,
2025-07-16,,,,,,,232.86,232.14,234.15,232.14,0.54,
2025-07-17,,,,,,,235.66,232.59,235.79,232.59,2.8,
2025-07-18,,,,,,,235.29,235.94,237.59,235.08,-0.37,
2025-07-21,,,,,,,234.59,235.17,235.86,234.52,-0.7,
2025-07-22,,,,,,,228.76,234.51,235.17,228.76,-5.83,
2025-07-23,,,,,,,232.16,228.89,232.16,228.89,3.4,
2025-07-24,,,,,,,232.93,232.05,233.45,231.67,0.77,
2025-07-25,,,,,,,232.77,232.88,233.5,232.04,-0.16,
2025-07-28,,,,,,,233.45,232.92,234.16,232.02,0.68,
2025-07-29,,,,,,,231.16,233.39,233.81,230.8,-2.29,
2025-07-30,,,,,,,231.45,231.34,232.38,230.36,0.29,
